,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Georgetown,MY,5.4112,100.3354,78.8,88,20,5.75,few clouds,0.0,0.0
1,Thinadhoo,MV,0.5333,72.9333,81.43,76,59,13.96,broken clouds,0.0,0.0
2,Chokurdakh,RU,70.6333,147.9167,-5.24,91,100,9.4,overcast clouds,0.0,0.0
3,Rikitea,PF,-23.1203,-134.9692,78.57,67,55,7.11,broken clouds,0.0,0.0
4,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,88,40,17.27,light rain,0.14,0.0
5,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,94,40,18.86,light rain,0.0,0.0
6,Coquimbo,CL,-29.9533,-71.3436,66.2,63,0,14.97,clear sky,0.0,0.0
7,Avarua,CK,-21.2078,-159.775,84.2,79,16,12.66,few clouds,0.0,0.0
8,Busselton,AU,-33.65,115.3333,59.0,80,0,5.01,clear sky,0.0,0.0
9,Kapaa,US,22.0752,-159.319,77.0,83,1,4.38,clear sky,0.0,0.0
10,Saint-Philippe,RE,-21.3585,55.7679,78.8,94,20,4.61,few clouds,0.0,0.0
11,Bredasdorp,ZA,-34.5322,20.0403,68.0,56,0,13.8,clear sky,0.0,0.0
12,Barrow,US,71.2906,-156.7887,-9.4,77,1,16.11,haze,0.0,0.0
13,Punta Arenas,CL,-53.15,-70.9167,57.2,72,0,16.11,clear sky,0.0,0.0
14,Bluff,NZ,-46.6,168.3333,57.72,90,56,2.89,broken clouds,0.0,0.0
15,Jamestown,US,42.097,-79.2353,43.0,65,90,20.71,overcast clouds,0.0,0.0
16,Narsaq,GL,60.9167,-46.05,23.0,46,75,13.8,broken clouds,0.0,0.0
17,Yellowknife,CA,62.456,-114.3525,10.4,92,75,17.27,snow,0.0,0.0
18,Khowst,AF,33.3833,69.8833,45.79,41,0,3.29,clear sky,0.0,0.0
19,Ambovombe,MG,-25.1667,46.0833,77.04,91,61,8.52,broken clouds,0.0,0.0
20,Belaya Gora,RU,68.5333,146.4167,-17.14,89,100,5.03,light snow,0.0,0.12
21,Moengo,SR,5.6167,-54.4,78.42,90,83,5.84,broken clouds,0.0,0.0
22,Qaanaaq,GL,77.484,-69.3632,10.09,92,100,0.76,overcast clouds,0.0,0.0
23,Thompson,CA,55.7435,-97.8558,5.0,78,75,4.61,broken clouds,0.0,0.0
24,Namibe,AO,-15.1961,12.1522,75.07,67,0,8.93,clear sky,0.0,0.0
25,Roma,US,43.2128,-75.4557,37.4,70,20,16.11,few clouds,0.0,0.0
26,Faya,SA,18.3851,42.4509,55.4,87,0,4.61,clear sky,0.0,0.0
27,Neiafu,TO,-18.65,-173.9833,82.4,83,75,9.22,broken clouds,0.0,0.0
28,Chuy,UY,-33.6971,-53.4616,78.39,69,100,16.69,overcast clouds,0.0,0.0
29,Mataura,NZ,-46.1927,168.8643,59.79,81,23,2.28,few clouds,0.0,0.0
30,Lima,PE,-12.0432,-77.0282,73.4,73,0,9.22,clear sky,0.0,0.0
31,Nipawin,CA,53.3668,-104.0009,14.0,100,90,10.36,mist,0.0,0.0
32,Port Elizabeth,ZA,-33.918,25.5701,71.6,73,40,24.16,scattered clouds,0.0,0.0
33,Dingle,PH,10.9995,122.6711,74.25,93,14,6.98,moderate rain,1.2936,0.0
34,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.8,62,75,20.71,light rain,1.0,0.0
35,Podosinovets,RU,60.2776,47.0659,-0.22,93,99,3.58,overcast clouds,0.0,0.0
36,Clyde River,CA,70.4692,-68.5914,-2.2,84,90,4.61,overcast clouds,0.0,0.0
37,Vaini,TO,-21.2,-175.2,84.2,79,40,9.22,light rain,0.24,0.0
38,Hithadhoo,MV,-0.6,73.0833,81.61,78,100,14.81,overcast clouds,0.0,0.0
39,Manicore,BR,-5.8092,-61.3003,80.42,82,91,2.57,heavy intensity rain,11.531,0.0
40,Ahipara,NZ,-35.1667,173.1667,67.35,67,51,2.89,broken clouds,0.0,0.0
41,Listvyagi,RU,53.6772,86.951,-6.23,89,100,1.81,overcast clouds,0.0,0.0
42,Faanui,PF,-16.4833,-151.75,81.05,74,100,12.19,overcast clouds,0.0,0.0
43,Ribeira Grande,PT,38.5167,-28.7,62.6,82,40,13.8,scattered clouds,0.0,0.0
44,Yurimaguas,PE,-5.9,-76.0833,84.2,70,40,5.75,light rain,0.8,0.0
45,Lebu,CL,-37.6167,-73.65,61.18,66,0,15.7,clear sky,0.0,0.0
46,San Rafael,AR,-34.6177,-68.3301,84.11,28,0,7.45,clear sky,0.0,0.0
47,Necochea,AR,-38.5473,-58.7368,81.21,50,50,8.68,scattered clouds,0.0,0.0
48,Codrington,AU,-38.2667,141.9667,53.76,76,89,14.58,overcast clouds,0.0,0.0
49,Port Alfred,ZA,-33.5906,26.891,69.01,89,59,1.01,broken clouds,0.0,0.0
50,Maracacume,BR,-2.0428,-45.9592,84.78,68,41,5.64,scattered clouds,0.0,0.0
51,Khatanga,RU,71.9667,102.5,-47.49,76,33,3.02,scattered clouds,0.0,0.0
52,Lagoa,PT,39.05,-27.9833,60.98,85,0,21.14,clear sky,0.0,0.0
53,Uglekamensk,RU,43.2172,133.2303,0.86,87,2,6.29,clear sky,0.0,0.0
54,Srednekolymsk,RU,67.45,153.6833,-30.03,83,69,4.65,broken clouds,0.0,0.0
55,Sitka,US,57.0531,-135.33,44.6,81,90,16.11,light rain,0.48,0.0
56,Hilo,US,19.7297,-155.09,80.6,61,40,5.75,scattered clouds,0.0,0.0
57,Mar Del Plata,AR,-38.0023,-57.5575,78.8,61,40,13.8,scattered clouds,0.0,0.0
58,Atar,MR,20.5169,-13.0499,66.85,22,100,11.95,overcast clouds,0.0,0.0
59,Katsuura,JP,35.1333,140.3,53.01,100,75,5.75,mist,0.0,0.0
60,Bethel,US,41.3712,-73.414,39.99,81,90,8.05,overcast clouds,0.0,0.0
61,Ushuaia,AR,-54.8,-68.3,62.6,51,20,8.05,few clouds,0.0,0.0
62,Albany,US,42.6001,-73.9662,37.0,73,100,9.69,overcast clouds,0.0,0.0
63,Torbay,CA,47.6666,-52.7314,32.0,93,90,21.85,light snow,0.0,0.25
64,Butaritari,KI,3.0707,172.7902,80.92,79,78,22.64,light rain,0.34,0.0
65,Adolfo Lopez Mateos,MX,28.4667,-107.3,63.0,17,0,1.99,clear sky,0.0,0.0
66,Esperance,AU,-33.8667,121.9,55.4,71,90,6.91,overcast clouds,0.0,0.0
67,Hermanus,ZA,-34.4187,19.2345,64.0,82,1,13.38,clear sky,0.0,0.0
68,Hobart,AU,-42.8794,147.3294,55.4,62,75,9.22,broken clouds,0.0,0.0
69,Paamiut,GL,61.994,-49.6678,28.04,96,100,15.26,light snow,0.0,0.43
70,Partenit,UA,44.578,34.3446,35.87,80,37,9.51,scattered clouds,0.0,0.0
71,Aksu,CN,41.1231,80.2644,17.53,82,0,7.83,clear sky,0.0,0.0
72,Kruisfontein,ZA,-34.0033,24.7314,71.01,74,37,3.0,light rain,0.18,0.0
73,Mehamn,NO,71.0357,27.8492,37.4,81,75,13.8,broken clouds,0.0,0.0
74,New Norfolk,AU,-42.7826,147.0587,54.0,70,68,1.99,broken clouds,0.0,0.0
75,Bonavista,CA,48.6499,-53.1147,32.0,93,100,1.14,overcast clouds,0.0,0.0
76,Castro,BR,-24.7911,-50.0119,72.39,87,19,6.42,few clouds,0.0,0.0
77,Talnakh,RU,69.4865,88.3972,-37.41,74,0,7.49,clear sky,0.0,0.0
78,Kirakira,SB,-10.4544,161.9205,81.37,80,100,5.99,overcast clouds,0.0,0.0
79,Carnarvon,AU,-24.8667,113.6333,77.0,100,0,8.05,clear sky,0.0,0.0
80,Ponta Do Sol,PT,32.6667,-17.1,53.01,63,7,3.0,clear sky,0.0,0.0
81,Sapernoye,RU,60.7167,29.9505,6.89,95,100,4.85,overcast clouds,0.0,0.0
82,Victoria,HK,22.2855,114.1577,61.0,68,82,6.24,broken clouds,0.0,0.0
83,Dukat,RU,62.55,155.55,-35.27,81,100,3.04,overcast clouds,0.0,0.0
84,Iturama,BR,-19.7281,-50.1956,80.92,72,100,2.73,overcast clouds,0.0,0.0
85,Pevek,RU,69.7008,170.3133,-8.68,87,100,1.83,overcast clouds,0.0,0.0
86,Izumo,JP,35.3667,132.7667,48.2,87,75,9.22,broken clouds,0.0,0.0
87,East London,ZA,-33.0153,27.9116,72.1,77,100,8.1,overcast clouds,0.0,0.0
88,Umm Lajj,SA,25.0213,37.2685,68.61,51,0,6.04,clear sky,0.0,0.0
89,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,52,75,12.66,broken clouds,0.0,0.0
90,Atuona,PF,-9.8,-139.0333,77.2,77,1,13.11,clear sky,0.0,0.0
91,Hamilton,US,39.1834,-84.5333,43.0,49,90,12.66,overcast clouds,0.0,0.0
92,Upernavik,GL,72.7868,-56.1549,15.19,96,100,3.74,light snow,0.0,0.18
93,Constitucion,CL,-35.3333,-72.4167,67.01,46,0,23.38,clear sky,0.0,0.0
94,Marolambo,MG,-20.05,48.1167,73.56,92,100,0.69,overcast clouds,0.0,0.0
95,Norrtalje,SE,59.758,18.705,28.0,89,80,8.01,broken clouds,0.0,0.0
96,Alice Town,BS,25.7167,-79.3,71.38,84,100,6.22,overcast clouds,0.0,0.0
97,Kilindoni,TZ,-7.9139,39.6668,80.37,81,2,12.48,clear sky,0.0,0.0
98,Hurricane,US,37.1753,-113.2899,60.01,19,1,2.77,clear sky,0.0,0.0
99,Cabo San Lucas,MX,22.8909,-109.9124,80.01,49,1,10.36,clear sky,0.0,0.0
100,Bathsheba,BB,13.2167,-59.5167,82.4,65,40,19.57,scattered clouds,0.0,0.0
101,Yar-Sale,RU,66.8333,70.8333,-4.68,91,100,7.27,overcast clouds,0.0,0.0
102,Cape Town,ZA,-33.9258,18.4232,69.01,88,75,12.66,broken clouds,0.0,0.0
103,Souillac,MU,-20.5167,57.5167,78.8,94,75,9.22,broken clouds,0.0,0.0
104,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,83,20,14.97,snow,0.0,0.0
105,Tiksi,RU,71.6872,128.8694,-11.13,90,100,4.18,overcast clouds,0.0,0.0
106,Cherskiy,RU,68.75,161.3,-26.0,86,94,3.02,overcast clouds,0.0,0.0
107,Kieta,PG,-6.2167,155.6333,81.03,74,99,4.36,overcast clouds,0.0,0.0
108,Batemans Bay,AU,-35.7167,150.1833,57.99,59,0,4.0,clear sky,0.0,0.0
109,Lang Suan,TH,9.9456,99.0785,72.32,83,1,2.51,clear sky,0.0,0.0
110,High Rock,BS,26.6208,-78.2833,71.6,78,75,4.61,broken clouds,0.0,0.0
111,Jiutai,CN,44.1525,125.8328,-18.4,69,0,4.47,clear sky,0.0,0.0
112,Muros,ES,42.7762,-9.0603,42.01,90,20,4.83,few clouds,0.0,0.0
113,Wschowa,PL,51.807,16.3166,28.0,84,94,8.79,overcast clouds,0.0,0.0
114,Kaitangata,NZ,-46.2817,169.8464,62.01,84,55,4.0,broken clouds,0.0,0.0
115,Korla,CN,41.7597,86.1469,18.45,81,0,12.3,clear sky,0.0,0.0
116,Inongo,CD,-1.95,18.2667,77.14,72,25,4.0,scattered clouds,0.0,0.0
117,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,73,0,17.27,clear sky,0.0,0.0
118,Luderitz,NA,-26.6481,15.1594,65.88,79,72,10.8,broken clouds,0.0,0.0
119,Waddan,LY,29.1614,16.139,53.53,41,30,5.88,scattered clouds,0.0,0.0
120,Ulladulla,AU,-35.35,150.4667,60.8,39,0,16.11,clear sky,0.0,0.0
121,Katubao,PH,5.8892,124.8294,80.13,71,95,2.3,overcast clouds,0.0,0.0
122,Sibu,MY,2.3,111.8167,73.4,94,40,3.44,scattered clouds,0.0,0.0
123,Portland,US,45.5234,-122.6762,48.99,93,90,1.77,overcast clouds,0.0,0.0
124,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,89.6,57,98,7.87,light rain,0.56,0.0
125,Puerto Ayora,EC,-0.7393,-90.3518,82.4,69,40,14.97,scattered clouds,0.0,0.0
126,Port-Gentil,GA,-0.7193,8.7815,80.6,89,20,5.75,few clouds,0.0,0.0
127,Lompoc,US,34.6391,-120.4579,84.2,24,33,3.44,scattered clouds,0.0,0.0
128,Seoul,KR,37.5683,126.9778,26.6,79,20,8.05,mist,0.0,0.0
129,Nikolskoye,RU,59.7035,30.7861,8.01,85,75,2.24,snow,0.0,0.56
130,Nome,US,64.5011,-165.4064,24.8,63,1,13.8,clear sky,0.0,0.0
131,La Ronge,CA,55.1001,-105.2842,14.0,85,100,3.44,overcast clouds,0.0,0.0
132,Kuching,MY,1.55,110.3333,73.4,100,40,2.3,light rain,0.56,0.0
133,Fortuna,US,40.5982,-124.1573,57.99,88,20,4.61,few clouds,0.0,0.0
134,Lata,PT,40.1629,-8.3327,48.99,93,0,1.14,clear sky,0.0,0.0
135,Aksay,RU,47.26,39.87,26.6,86,75,8.95,broken clouds,0.0,0.0
136,Saldanha,ZA,-33.0117,17.9442,68.0,77,0,3.44,clear sky,0.0,0.0
137,Himare,AL,40.1017,19.7447,51.01,71,20,2.98,moderate rain,1.7,0.0
138,Rivadavia,AR,-33.1905,-68.4608,86.0,42,40,3.44,scattered clouds,0.0,0.0
139,Isangel,VU,-19.55,169.2667,80.6,89,75,8.79,broken clouds,0.0,0.0
140,Terney,RU,45.0503,136.6092,15.62,92,100,9.24,light snow,0.0,0.14
141,Vyazemskiy,RU,47.5378,134.7525,-7.17,89,61,3.69,broken clouds,0.0,0.0
142,Cidreira,BR,-30.1811,-50.2056,78.01,80,10,21.41,clear sky,0.0,0.0
143,Abu Samrah,SY,35.3029,37.1841,49.78,86,0,8.95,clear sky,0.0,0.0
144,Sao Filipe,CV,14.8961,-24.4956,73.99,67,100,12.62,overcast clouds,0.0,0.0
145,Provideniya,RU,64.3833,-173.3,12.74,93,100,7.87,overcast clouds,0.0,0.0
146,Marsa Matruh,EG,31.3525,27.2453,57.2,54,20,6.91,few clouds,0.0,0.0
147,Nanortalik,GL,60.1432,-45.2371,27.82,97,99,5.32,light snow,0.0,0.15
148,Lianzhou,CN,24.7811,112.3825,55.17,46,84,2.42,broken clouds,0.0,0.0
149,Broome,US,42.2506,-75.833,37.0,80,90,14.97,mist,0.0,0.0
150,Pisco,PE,-13.7,-76.2167,77.0,69,0,19.57,clear sky,0.0,0.0
151,Oktyabrskiy,RU,54.4815,53.471,17.62,96,100,8.77,overcast clouds,0.0,0.0
152,Spearfish,US,44.4908,-103.8594,36.0,27,1,16.11,clear sky,0.0,0.0
153,Bouafle,CI,6.9904,-5.7442,77.0,83,0,2.95,clear sky,0.0,0.0
154,Broken Hill,AU,-31.95,141.4333,51.8,58,100,16.11,overcast clouds,0.0,0.0
155,Ancud,CL,-41.8697,-73.8203,60.8,67,0,5.75,light rain,0.11,0.0
156,Dikson,RU,73.5069,80.5464,-31.05,80,83,4.07,broken clouds,0.0,0.0
157,Grindavik,IS,63.8424,-22.4338,33.8,100,90,27.63,sleet,0.0,2.73
158,Mahebourg,MU,-20.4081,57.7,78.8,94,75,9.22,broken clouds,0.0,0.0
159,Aksarka,RU,66.5606,67.7975,-7.83,90,100,2.59,overcast clouds,0.0,0.0
160,Natitingou,BJ,10.3042,1.3796,76.19,17,0,5.64,clear sky,0.0,0.0
161,Gunjur,GM,13.2019,-16.7339,78.8,50,19,5.75,few clouds,0.0,0.0
162,Sept-Iles,CA,50.2001,-66.3821,33.8,74,0,4.61,clear sky,0.0,0.0
163,Mildura,AU,-34.2,142.15,50.0,76,0,5.75,clear sky,0.0,0.0
164,Homer,US,59.6425,-151.5483,34.0,93,40,4.12,scattered clouds,0.0,0.0
165,Fernley,US,39.608,-119.2518,54.0,42,0,1.99,clear sky,0.0,0.0
166,Aykhal,RU,66.0,111.5,-42.12,78,100,8.93,overcast clouds,0.0,0.0
167,Correntina,BR,-13.3433,-44.6367,82.63,64,100,3.67,overcast clouds,0.0,0.0
168,La Union,PE,-5.4,-80.75,71.51,81,100,3.98,light rain,0.38,0.0
169,Cockburn Town,TC,21.4612,-71.1419,80.6,69,40,8.05,scattered clouds,0.0,0.0
170,Petatlan,MX,17.5167,-101.2667,86.0,70,75,6.91,broken clouds,0.0,0.0
171,Saskylakh,RU,71.9167,114.0833,-24.03,84,100,11.59,overcast clouds,0.0,0.0
172,Phangnga,TH,8.4509,98.5298,77.0,78,20,8.05,few clouds,0.0,0.0
173,Peniche,PT,39.3558,-9.3811,51.01,95,0,7.0,clear sky,0.0,0.0
174,Mendi,PG,-6.1761,143.6513,54.3,97,95,2.26,overcast clouds,0.0,0.0
175,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-2.2,78,100,6.71,overcast clouds,0.0,0.0
176,Teguise,ES,29.0605,-13.564,62.6,55,75,11.5,broken clouds,0.0,0.0
177,Bandarbeyla,SO,9.4942,50.8122,74.53,77,0,17.4,clear sky,0.0,0.0
178,Hambantota,LK,6.1241,81.1185,75.97,82,100,8.3,overcast clouds,0.0,0.0
179,Rocha,UY,-34.4833,-54.3333,84.61,50,99,15.93,overcast clouds,0.0,0.0
180,Tilichiki,RU,60.4667,166.1,-26.23,84,0,6.35,clear sky,0.0,0.0
181,Emba,KZ,48.8264,58.1442,22.33,93,100,11.3,overcast clouds,0.0,0.0
182,Quesnel,CA,52.9999,-122.5029,37.4,60,1,8.05,clear sky,0.0,0.0
183,Xining,CN,36.6167,101.7667,11.91,91,88,1.14,overcast clouds,0.0,0.0
184,Lodja,CD,-3.4833,23.4333,68.49,97,91,2.17,overcast clouds,0.0,0.0
185,Solwezi,ZM,-12.1688,26.3894,59.77,97,50,5.53,scattered clouds,0.0,0.0
186,Nykoping,SE,58.753,17.0079,15.8,86,75,6.91,broken clouds,0.0,0.0
187,Bambous Virieux,MU,-20.3428,57.7575,81.0,94,75,9.22,broken clouds,0.0,0.0
188,Strezhevoy,RU,60.7333,77.5889,5.0,85,90,13.42,snow,0.0,0.74
189,Dalbeattie,GB,54.9328,-3.8227,34.0,88,100,8.99,light snow,0.0,0.3
190,Agadir,MA,30.4202,-9.5982,48.2,93,0,5.75,clear sky,0.0,0.0
191,Berlevag,NO,70.8578,29.0864,37.4,81,75,13.8,broken clouds,0.0,0.0
192,Bengkulu,ID,-3.8004,102.2655,76.78,80,95,3.89,heavy intensity rain,5.990400000000001,0.0
193,Mudbidri,IN,13.0833,74.9833,80.6,83,75,2.51,broken clouds,0.0,0.0
194,Baykit,RU,61.67,96.37,-28.91,78,0,2.71,clear sky,0.0,0.0
195,Khoy,IR,38.5504,44.9535,37.47,73,0,7.31,clear sky,0.0,0.0
196,Mount Hagen,PG,-5.8581,144.2274,58.15,91,98,1.81,overcast clouds,0.0,0.0
197,Tasiilaq,GL,65.6145,-37.6368,32.0,86,90,16.11,snow,0.0,0.77
198,Pearl,US,32.2746,-90.132,55.0,26,20,14.97,few clouds,0.0,0.0
199,Anloga,GH,5.7947,0.8973,82.4,83,20,10.36,few clouds,0.0,0.0
200,Gimli,CA,50.6336,-96.9907,17.6,67,98,11.5,overcast clouds,0.0,0.0
201,Manzhouli,CN,49.6,117.4333,-3.89,86,17,15.93,few clouds,0.0,0.0
202,Fort Nelson,CA,58.8053,-122.7002,17.6,86,75,4.61,broken clouds,0.0,0.0
203,Norman Wells,CA,65.282,-126.8329,5.0,78,90,8.05,light snow,0.0,0.14
204,Ossora,RU,59.2353,163.0719,-16.65,85,76,4.81,broken clouds,0.0,0.0
205,Huarmey,PE,-10.0681,-78.1522,75.24,70,70,8.41,broken clouds,0.0,0.0
206,Guerrero Negro,MX,27.9769,-114.0611,78.89,17,0,3.18,clear sky,0.0,0.0
207,Piedade,BR,-23.7119,-47.4278,78.01,70,100,5.99,moderate rain,2.2,0.0
208,Tual,ID,-5.6667,132.75,83.95,76,100,12.24,overcast clouds,0.0,0.0
209,Benguela,AO,-12.5763,13.4055,76.03,73,0,6.64,clear sky,0.0,0.0
210,Laguna,US,38.421,-121.4238,62.01,72,1,0.49,mist,0.0,0.0
211,Chumikan,RU,54.7183,135.315,-19.7,81,0,18.37,clear sky,0.0,0.0
212,Coffeyville,US,37.0373,-95.6164,37.4,60,90,26.46,overcast clouds,0.0,0.0
213,Muravlenko,RU,63.7898,74.523,1.87,94,100,11.34,light snow,0.0,0.24
214,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.4,65,0,20.71,clear sky,0.0,0.0
215,Waipawa,NZ,-41.4122,175.5153,66.2,82,90,11.5,overcast clouds,0.0,0.0
216,Taltal,CL,-25.4,-70.4833,68.04,58,20,5.88,few clouds,0.0,0.0
217,Kantabanji,IN,20.4833,82.9167,57.97,36,0,1.39,clear sky,0.0,0.0
218,Soyo,AO,-6.1349,12.3689,79.54,75,100,7.25,overcast clouds,0.0,0.0
219,Port Hedland,AU,-20.3167,118.5667,87.8,79,39,3.44,scattered clouds,0.0,0.0
220,Khandagayty,RU,50.7333,92.05,-16.73,83,94,1.86,overcast clouds,0.0,0.0
221,Montague,US,42.5356,-72.5351,39.0,83,100,4.99,overcast clouds,0.0,0.0
222,Matagami,CA,49.7502,-77.6328,30.2,80,90,16.11,overcast clouds,0.0,0.0
223,Dmitriyevka,RU,54.75,55.3333,10.0,85,0,6.44,clear sky,0.0,0.0
224,Flinders,AU,-34.5833,150.8552,59.0,60,0,7.0,clear sky,0.0,0.0
225,Richards Bay,ZA,-28.783,32.0377,78.6,85,58,14.34,light rain,0.7,0.0
226,Gamba,GA,-2.65,10.0,78.06,84,100,5.17,light rain,0.15,0.0
227,Port Lincoln,AU,-34.7333,135.8667,56.97,65,100,12.24,overcast clouds,0.0,0.0
228,Oussouye,SN,12.485,-16.5469,84.2,53,0,7.65,clear sky,0.0,0.0
229,Altay,CN,47.8667,88.1167,-3.41,55,0,2.04,clear sky,0.0,0.0
230,Leningradskiy,RU,69.3833,178.4167,-9.08,89,100,8.81,overcast clouds,0.0,0.0
